CalYear,N_WET,S_WET,BC_WET
1988,3.4635999999999996,5.6768,4.2089
1989,4.837,6.52,5.3893
1990,4.214,6.256,4.0786
1991,3.6022000000000003,4.7504,3.6723
1992,3.5728,5.016,4.238
1993,3.3586,4.7056,5.7024
1994,3.528,4.2863999999999995,4.1427000000000005
1995,4.421200000000001,4.3664000000000005,5.8021
1996,4.9798,5.3616,11.642100000000001
1997,4.2196,4.836799999999999,3.9252000000000002
1998,3.2689999999999997,4.3808,4.005
1999,5.096,6.9952000000000005,11.5941
2000,4.6788,5.4399999999999995,7.2084
2001,3.4118,3.6784000000000003,4.0356
2002,4.1692,3.8272,4.6859
2003,2.9568,3.6096,7.8902
2004,1.5638,2.7584,3.2926
2005,3.3684,3.8047999999999997,7.572
2006,3.9508,4.1232,7.7566
2007,2.5858,3.3312,1.8254
2008,2.9274,3.6592,6.4851
2009,0.9142,1.2111999999999998,2.2276
2010,1.4924,1.8304,4.6738
2011,1.9586000000000001,2.0912,4.7267
2012,2.191,1.9103999999999999,4.5473
2013,2.0594,0.0128,1.9932999999999998
